cas,palm-elbowL,elbow-shoulderL,palm-shoulderL,chest-elbowL,palm-elbowR,elbow-shoulderR,palm-shoulderR,chest-elbowR,rPalm-chest,success
Thu Jun  6 20:27:01 2024,0.276083,0.260793,0.460943,0.274879,0.292581,0.265727,0.177801,0.262389,0.114711,1
Thu Jun  6 20:27:04 2024,0.270911,0.261919,0.474205,0.270345,0.282556,0.266875,0.162701,0.259031,0.112179,1
Thu Jun  6 20:27:06 2024,0.270269,0.262007,0.472706,0.269763,0.282718,0.266964,0.163384,0.259156,0.112043,1
Thu Jun  6 20:27:08 2024,0.269962,0.262179,0.47158,0.269515,0.283059,0.267139,0.164177,0.259185,0.112623,1
Thu Jun  6 20:27:11 2024,0.268621,0.262403,0.469967,0.269041,0.283074,0.267368,0.164104,0.258711,0.112556,1
Thu Jun  6 20:27:13 2024,0.265965,0.26387,0.475466,0.268926,0.283439,0.268862,0.160159,0.254512,0.117866,1
Thu Jun  6 20:27:15 2024,0.269314,0.265681,0.475884,0.270319,0.284771,0.270708,0.163301,0.256975,0.113928,1
Thu Jun  6 20:27:18 2024,0.261635,0.263778,0.468061,0.269021,0.282617,0.268768,0.153803,0.258221,0.120042,1
Thu Jun  6 20:27:20 2024,0.261756,0.263924,0.464183,0.268282,0.284387,0.268917,0.157734,0.256793,0.122583,1
Thu Jun  6 20:27:22 2024,0.261042,0.265485,0.466073,0.270856,0.293892,0.270507,0.162417,0.254763,0.127577,1
Thu Jun  6 20:27:25 2024,0.262789,0.266329,0.469613,0.270756,0.289746,0.271368,0.162453,0.254671,0.124025,1
Thu Jun  6 20:27:27 2024,0.259338,0.267137,0.467024,0.268965,0.28717,0.272191,0.160443,0.255366,0.118857,1
Thu Jun  6 20:27:29 2024,0.268101,0.266186,0.476241,0.267146,0.283478,0.271222,0.15824,0.256921,0.117597,1
Thu Jun  6 20:27:31 2024,0.264597,0.26611,0.475984,0.267601,0.284331,0.271145,0.15871,0.25693,0.117334,1
Thu Jun  6 20:27:34 2024,0.268456,0.265467,0.477977,0.268219,0.288584,0.270489,0.161135,0.262138,0.125463,1
