cas,palm-elbowL,elbow-shoulderL,palm-shoulderL,chest-elbowL,palm-elbowR,elbow-shoulderR,palm-shoulderR,chest-elbowR,rPalm-chest,success
Thu Jun  6 20:49:46 2024,0.292807,0.260444,0.471661,0.269153,0.286363,0.265371,0.180142,0.264603,0.173695,0
Thu Jun  6 20:49:49 2024,0.276355,0.26049,0.475534,0.260982,0.290618,0.265419,0.175757,0.263315,0.110855,1
Thu Jun  6 20:49:51 2024,0.274133,0.26097,0.474685,0.264922,0.290407,0.265907,0.180815,0.267761,0.0964739,1
Thu Jun  6 20:49:53 2024,0.272896,0.262374,0.475173,0.268758,0.279169,0.267338,0.227651,0.267684,0.0912781,1
Thu Jun  6 20:49:56 2024,0.283648,0.262094,0.489221,0.267791,0.279317,0.267053,0.302332,0.277786,0.143359,1
Thu Jun  6 20:49:58 2024,0.280773,0.261443,0.489963,0.263669,0.278746,0.266389,0.115314,0.276612,0.137363,1
Thu Jun  6 20:50:00 2024,0.279711,0.26894,0.485825,0.267011,0.295045,0.274028,0.121443,0.26027,0.127287,1
Thu Jun  6 20:50:02 2024,0.279693,0.26892,0.48587,0.267014,0.294981,0.274008,0.1215,0.260213,0.12717,1
Thu Jun  6 20:50:05 2024,0.274824,0.259274,0.522159,0.357552,0.31467,0.264179,0.575592,0.349213,0.626241,0
Thu Jun  6 20:50:07 2024,0.297253,0.261912,0.555999,0.395271,0.310889,0.266867,0.575836,0.367369,0.632491,0
Thu Jun  6 20:50:09 2024,0.268149,0.237799,0.483292,0.33186,0.274873,0.242297,0.366403,0.328378,0.376053,0
Thu Jun  6 20:50:11 2024,0.271702,0.253524,0.496832,0.289413,0.282906,0.258321,0.182585,0.287756,0.114848,0
Thu Jun  6 20:50:13 2024,0.284365,0.259585,0.518416,0.287394,0.286071,0.264496,0.162092,0.304393,0.127451,0
Thu Jun  6 20:50:15 2024,0.285043,0.259609,0.518717,0.286922,0.286042,0.264521,0.16214,0.304446,0.126708,0
Thu Jun  6 20:50:17 2024,0.308332,0.263386,0.550099,0.276178,0.278743,0.268369,0.156151,0.25796,0.112004,1
