cas,palm-elbowL,elbow-shoulderL,palm-shoulderL,chest-elbowL,palm-elbowR,elbow-shoulderR,palm-shoulderR,chest-elbowR,rPalm-chest,success
Thu Jun  6 20:29:44 2024,0.263922,0.278693,0.355667,0.461295,0.310257,0.283966,0.528551,0.276864,0.445701,0
Thu Jun  6 20:29:46 2024,0.293676,0.275883,0.39056,0.483138,0.309925,0.281102,0.543602,0.261903,0.451665,1
Thu Jun  6 20:29:59 2024,0.296377,0.276545,0.395301,0.482371,0.30733,0.281777,0.542402,0.263895,0.452884,1
Thu Jun  6 20:30:02 2024,0.295849,0.275627,0.384319,0.478727,0.324058,0.280842,0.567752,0.259914,0.47136,0
Thu Jun  6 20:30:04 2024,0.29864,0.278124,0.375186,0.481409,0.321901,0.283386,0.566185,0.255845,0.456901,0
Thu Jun  6 20:30:06 2024,0.314119,0.280441,0.413206,0.489256,0.323103,0.285746,0.568741,0.257148,0.459208,1
Thu Jun  6 20:30:08 2024,0.289746,0.280185,0.404996,0.483645,0.319011,0.285485,0.563181,0.259952,0.459101,1
Thu Jun  6 20:30:10 2024,0.300114,0.281404,0.384412,0.481859,0.320923,0.286728,0.564228,0.260993,0.461266,0
Thu Jun  6 20:30:12 2024,0.299,0.280644,0.380478,0.481887,0.307059,0.285954,0.541657,0.26225,0.453378,0
Thu Jun  6 20:30:15 2024,0.288811,0.279402,0.368028,0.487122,0.310288,0.284687,0.549428,0.261233,0.457118,0
Thu Jun  6 20:30:17 2024,0.295857,0.276634,0.377262,0.480822,0.305945,0.281868,0.53247,0.260704,0.444101,0
Thu Jun  6 20:30:19 2024,0.292599,0.275833,0.364363,0.476287,0.306343,0.281052,0.534961,0.262087,0.456185,0
Thu Jun  6 20:30:21 2024,0.305795,0.278676,0.379309,0.477628,0.29146,0.283948,0.522546,0.265049,0.437207,0
Thu Jun  6 20:30:23 2024,0.299165,0.27794,0.390938,0.494687,0.296098,0.283198,0.523102,0.266667,0.45258,0
Thu Jun  6 20:30:25 2024,0.301606,0.277471,0.39511,0.490581,0.295649,0.28272,0.514208,0.268785,0.444273,0
