cas,palm-elbowL,elbow-shoulderL,palm-shoulderL,chest-elbowL,palm-elbowR,elbow-shoulderR,palm-shoulderR,chest-elbowR,rPalm-chest,success
Thu Jun  6 20:24:16 2024,0.310082,0.265319,0.520502,0.271164,0.315911,0.270339,0.414381,0.450621,0.573425,1
Thu Jun  6 20:24:22 2024,0.284736,0.263832,0.507703,0.259789,0.30164,0.268823,0.425401,0.454989,0.630711,1
Thu Jun  6 20:24:24 2024,0.28728,0.265243,0.513394,0.261533,0.300789,0.270261,0.433919,0.457398,0.641926,1
Thu Jun  6 20:24:27 2024,0.291547,0.268463,0.521704,0.262883,0.307945,0.273542,0.445499,0.459703,0.655354,1
Thu Jun  6 20:24:29 2024,0.296847,0.270555,0.523592,0.26434,0.305481,0.275673,0.445187,0.458577,0.655618,1
Thu Jun  6 20:24:31 2024,0.297553,0.270149,0.517979,0.264225,0.308706,0.27526,0.447415,0.460367,0.657958,1
Thu Jun  6 20:24:34 2024,0.294667,0.270925,0.51629,0.265794,0.305524,0.276051,0.433325,0.454138,0.641562,1
Thu Jun  6 20:24:36 2024,0.286031,0.269693,0.503955,0.268799,0.30957,0.274796,0.436089,0.454667,0.643405,1
Thu Jun  6 20:24:38 2024,0.288362,0.268968,0.507996,0.268447,0.304878,0.274057,0.425729,0.452767,0.628225,1
Thu Jun  6 20:24:41 2024,0.295616,0.269614,0.520295,0.268488,0.302666,0.274715,0.423556,0.454574,0.630625,1
Thu Jun  6 20:24:43 2024,0.296783,0.269009,0.52207,0.266272,0.308254,0.274098,0.428274,0.454394,0.63333,1
Thu Jun  6 20:24:45 2024,0.294902,0.269771,0.521236,0.265697,0.304704,0.274875,0.43233,0.458224,0.639132,1
Thu Jun  6 20:24:48 2024,0.294627,0.269587,0.521844,0.265345,0.307801,0.274688,0.435936,0.457697,0.640641,1
Thu Jun  6 20:24:50 2024,0.296458,0.269857,0.52346,0.266415,0.309621,0.274962,0.445547,0.458375,0.653565,1
Thu Jun  6 20:24:52 2024,0.296563,0.268303,0.522528,0.264236,0.313313,0.273379,0.459714,0.453161,0.667866,1
